commit	entropy	skill_depth	CI	drama	DE	IGR	algo_align	greedy_gap	insight_inflect	status	game	algorithm	description
7c55381	104.5	53.2%	2.2	0.77	4.13	4.71	78.1%	38.2%	D2	keep	Rift	Binary Search	2D terrain probe game — binary search per row + cross-row inference
d870388	12.5	22.2%	0.4	0.90	1.10	2.30	100%	33.8%	D2	keep	Pinch	Two Pointers	Sorted tile array with converging cursors, find pairs summing to target
e1d28c5	15.2	66.9%	0.8	0.90	0.96	8.29	100%	56.3%	D3	keep	Pane	Sliding Window	Color gem row with draggable window edges, find minimum all-color window
—	9.6	86.0%	6.8	0.02	0.47	8.35	65.6%	96.0%	D1	kill	Crate	Stack	Conveyor belt stack-sorting — DE=0.47 (forced path), drama=0.02 (monotonic progress)
—	106.1	89.1%	1.0	1.00	4.18	6.00	100%	476%	D2	keep	Tag	Hash Map	Registry stamping for O(1) duplicate detection — strongest algorithm game metrics
—	9.8	14.4%	1.5	0.50	1.23	1.18	50.4%	4.6%	—	kill	Nest	Stack	Bracket matching with depth scoring — greedy-gap 4.6% (ordering doesn't matter)
—	11.5	64.4%	0.0	1.00	1.50	2.00	100%	179%	D2	keep	Delve	DFS/Backtracking	Dungeon exploration with keys/locks — DFS with pruning
—	32.4	100%	14.6	0.98	1.94	4.49	100%	27.7%	D3	keep	Ward	Scoped Hash Registries	Sudoku board patrol — file each filled cell into row, column, and chamber ledgers instead of rescanning neighborhoods
—	22.7	100%	5.8	0.72	1.56	1.28	100%	64.4%	D3	keep	Trailhead	Hash Map	Stake unsorted mile markers, then survey only true starts to find the longest consecutive ridge run
739cdf2	52.3	91.2%	26.3	0.68	2.55	4.29	100%	77.6%	D3	keep	Foldline	Two Pointers	Noisy inscription audit — trim non-alphanumeric blockers at the live ends and compare normalized endpoints instead of rebuilding the whole string
—	67.0	75.0%	2.6	0.92	2.25	1.66	100%	42.2%	D3	keep	Truce	Two Pointers	Zero-balance treaty broker — fix one anchor, sweep the inner pair by sign, and keep the same anchor alive to catalog every unique 3Sum trio
—	10.0	72.0%	1.2	0.91	1.58	3.66	100%	44.9%	D2	keep	Tidewall	Two Pointers	Storm-battered shoreline sweep — keep the best basin seen so far and release only the wall that is limiting the waterline
—	61.9	33.5%	1.2	0.99	2.04	3.78	100%	33.5%	D2	keep	Ticker	Sliding Window	Price-tape stock sweep — carry the cheapest buy anchor forward and compare each later day against it exactly once
—	18.0	62.2%	3.4	0.53	1.52	3.10	100%	41.9%	D3	keep	Echo Run	Sliding Window	One-pass radio band sweep — keep the longest clean signal by trimming left on echoes instead of restarting
—	16.0	63.1%	3.0	0.53	1.38	2.68	100%	33.7%	D3	keep	Patch Parade	Sliding Window	Parade banner sweep — keep the longest stretch that can still be repainted into one emblem, and trim left only when the repair debt would exceed k
—	20.1	60.0%	5.3	0.21	1.38	2.45	100%	28.9%	D2	keep	Manifest	Sliding Window	Cargo manifest sweep — expand until every required stamp is covered, then shave the left edge to secure the smallest valid satchel
—	12.1	100%	0.2	0.55	1.52	2.89	100%	24.0%	D3	keep	Claspline	Stack	Ceremonial clasp-route audit — pile open seals in one live vault, compare every closer to the current top, and fail the route the moment burial breaks the fit
—	14.6	44.5%	0.2	0.56	1.29	1.99	100%	44.5%	D3	keep	Breakline	Binary Search	Rotated ridge hunt — compare the middle beacon to the tail sentinel, and discard only the arc that cannot still hide the wrap break
—	3.4	67.5%	0.39	0.76	1.66	2.05	100%	67.5%	D2	keep	Bandshift	Binary Search	Rotated relay-chain search — check mid first, then keep only the ordered half whose bounds can still contain the target
